Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,0.000215667966675326,3.22622240976468E-07,-0.0508,0,0,0,19.3499528131755,0.325740839915859,-3.19805521505135E-05,4.09795776681259E-18,0.381046698471184,-2.0186546107189E-18,0.672432362659258,0,0,0,0,0,0,package://rat_bot/meshes/chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rat_bot/meshes/chassis.STL,,Chassis-1,chassis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_axle,0,0.3302,3.54973767868205E-18,0,0,0,5.47892692412034,0.0422116754174596,1.54158479016256E-19,-5.33756964679349E-19,0.0251915820814547,-3.42745878554697E-20,0.0422116754174596,0,0,0,0,0,0,package://rat_bot/meshes/rear_axle.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rat_bot/meshes/rear_axle.STL,,rear_axle-2,rear_axle,rear_axle_axis,rear_axle_continuous,continuous,-0.14848598412278,-0.330208611508917,-0.0508,0,0,0,chassis,0,-1,0,,,,,,,,,,,,
front_right_axle,0.00107004546547312,-0.0805167898427103,-0.060836167708994,0,0,0,0.310636803973422,0.000623132949903208,5.73940351430201E-06,3.20864102320735E-20,0.000191341270284429,-1.86471644842778E-19,0.000546254978933711,0,0,0,0,0,0,package://rat_bot/meshes/front_right_axle.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rat_bot/meshes/front_right_axle.STL,,front_axle-1,right_axle,right_axle_axis,front_right_axle_revolute,revolute,0.35951,-0.050809,0.0127,0,0,0,chassis,0,0,-1,100,10,-0.5,0.5,,,,,,,,
front_right_wheel,-0.000506293564028357,0.0380966358990794,2.42680039592254E-17,0,0,0,2.36300514046469,0.00739058429423119,-6.82679268466141E-05,-2.19875424938179E-19,0.0125265749461757,3.23794524781728E-18,0.00738967703270596,0,0,0,0,0,0,package://rat_bot/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rat_bot/meshes/front_right_wheel.STL,,rear_wheel-3,right_wheel,right_wheel_axis,front_right_wheel_continuous,continuous,0.00165389230915937,-0.124449010603659,-0.0635000000000001,0,0,0,front_right_axle,0.0132885449876211,-0.99991170338791,0,,,,,,,,,,,,
front_left_axle,-0.000356993729427948,0.0805231084804262,-0.0608361677089941,0,0,0,0.310636803973422,0.000623200735124786,1.91495775025319E-06,3.8890560499949E-20,0.000191273485062851,3.27002484028911E-19,0.000546254978933712,0,0,0,0,0,0,package://rat_bot/meshes/front_left_axle.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rat_bot/meshes/front_left_axle.STL,,front_axle-2,left_axle,left_axle_axis,front_left_axle_revolute,revolute,0.35951,0.050791,0.0127,0,0,0,chassis,0,0,-1,100,10,-0.5,0.5,,,,,,,,
front_left_wheel,0.000168912100877855,-0.0380996255716795,3.65928631643131E-17,0,0,0,2.36300514046469,0.00738977801592431,-2.27776623969502E-05,-3.18492963814954E-23,0.0125273812244826,-4.98526057575346E-18,0.00738967703270596,0,0,0,0,0,0,package://rat_bot/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rat_bot/meshes/front_left_wheel.STL,,rear_wheel-6,left_wheel,left_wheel_axis,front_left_wheel_continuous,continuous,-0.000551779529534266,0.124458776867486,-0.0635000000000001,0,0,0,front_left_axle,-0.00443338847448438,0.999990172485027,0,,,,,,,,,,,,
